update_date,open,high,low,close,amt,volume,position_all
2015/5/5,427.72,436.19,424.29,433.65,0,2696400,3310054
2015/5/6,434.87,447.72,433.03,445.42,0,3087500,3201558
2015/5/7,444.3,446.97,431.18,434.2,0,2720700,3197796
2015/5/8,434.63,443.44,428.27,436.8,0,3575100,3115140
2015/5/11,438.91,446.14,437.86,441.82,0,2907800,3141724
2015/5/12,436.94,436.94,436.94,436.94,0,2605700,3184952
2015/5/13,429,429,429,429,0,2486400,3182716
2015/5/14,429.87,431.09,418.69,421.73,0,3094100,3265086
2015/5/15,422.59,427.72,415.95,427.39,0,2847600,3274076
2015/5/18,426.4,429.47,422.53,422.66,0,1622500,3343048
2015/5/19,421.79,423.51,415.72,416.64,0,1764900,3309436
2015/5/20,415.58,416.71,409.55,414.04,0,2161100,3208470
2015/5/21,416.37,425.24,414.04,422.79,0,2292900,3209392
2015/5/22,423.11,423.8,413.89,422.65,0,2074800,3152142
2015/5/25,422.21,429.43,417.6,428.94,0,2249800,3211608
2015/5/26,429.71,439.04,428.5,432.33,0,3178800,3142796
2015/5/27,432.16,432.33,429.8,431.78,0,2042600,3148254
2015/5/28,431.77,435.38,426.73,429.14,0,2120900,3062658
2015/5/29,427.39,432.23,420.44,431.23,0,2623800,2951626
2015/6/1,430.88,441.39,430.88,440.49,0,2469100,2951746
2015/6/2,441.26,444.33,435.19,440.52,0,2304200,2898680
2015/6/3,440.97,442.58,433.21,433.64,0,1924500,2934388
2015/6/4,433.78,440.37,431.68,439.87,0,2028600,2872936
2015/6/5,440.09,441.24,432.63,435.3,0,1658100,2907502
2015/6/8,436.13,436.13,429.69,432.39,0,982200,2940854
2015/6/9,431.57,438.2,429.52,431.72,0,1548400,2911234
2015/6/10,432.7,448.28,432.7,448.27,0,2472400,3036054
2015/6/11,449.52,455,445.38,452.05,0,3141500,3062734
2015/6/12,450.9,451.85,441.7,442.48,0,2741600,3399886
2015/6/15,442.46,447.54,442.46,444.87,0,1579900,3518054
2015/6/16,443.8,444.24,431.85,432.57,0,2273500,3792002
