,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2016-09-05,2016-09-05 09:05:00,18507.32,18507.32,18378.22,18382.79,21810.0,2016-09-05 00:00:00,641000,1.0,-0.00450402546124
2016-09-06,2016-09-06 09:05:00,18424.15,18424.15,18369.91,18370.76,9968.0,2016-09-06 00:00:00,515600,1.0,-0.0140093059683
2016-09-07,2016-09-07 09:05:00,18167.84,18191.53,18134.46,18136.31,11222.0,2016-09-07 00:00:00,472100,1.0,-0.0040029725488
2016-09-08,2016-09-08 09:05:00,18095.26,18128.82,18082.77,18118.33,13448.0,2016-09-08 00:00:00,632200,1.0,0.00228417598809
2016-09-09,2016-09-09 09:05:00,18136.64,18147.09,18108.57,18108.57,8604.0,2016-09-09 00:00:00,509000,1.0,-0.00811815354824
2016-09-12,2016-09-12 09:05:00,17990.0,17994.99,17850.42,17850.42,42298.0,2016-09-12 00:00:00,667000,1.0,-0.0089111822392
2016-09-13,2016-09-13 09:05:00,17830.4,17838.57,17807.1,17816.12,12138.0,2016-09-13 00:00:00,454800,1.0,-0.0138324414815
2016-09-14,2016-09-14 09:05:00,17585.46,17593.54,17544.06,17556.89,16748.0,2016-09-14 00:00:00,632200,1.0,-0.00302810064016
2016-09-19,2016-09-19 09:05:00,17532.29,17550.46,17498.39,17525.43,22956.0,2016-09-19 00:00:00,336300,1.0,0.0187493485528
2016-09-20,2016-09-20 09:05:00,17864.11,17864.64,17819.57,17843.69,12868.0,2016-09-20 00:00:00,592400,0.5,-0.00427128603758
2016-09-28,2016-09-28 09:05:00,17957.77,17964.78,17931.6,17953.18,18508.0,2016-09-28 00:00:00,546900,0.5,0.0119371966867
2016-09-29,2016-09-29 09:05:00,18173.42,18182.4,18151.74,18180.5,12712.0,2016-09-29 00:00:00,530300,1.0,0.00281882722404
2016-09-30,2016-09-30 09:05:00,18224.72,18261.34,18210.99,18217.11,7938.0,2016-09-30 00:00:00,398200,1.0,-0.00227257406421
2016-10-10,2016-10-10 09:05:00,18183.35,18226.13,18183.35,18205.46,16760.0,2016-10-10 00:00:00,332900,1.0,0.00395896872706
2016-10-11,2016-10-11 09:05:00,18255.48,18261.75,18231.9,18244.79,11378.0,2016-10-11 00:00:00,507000,1.0,-0.0245452019693
2016-10-12,2016-10-12 09:05:00,17812.85,17821.09,17779.88,17813.74,15906.0,2016-10-12 00:00:00,622200,1.0,0.00253763982175
2016-10-13,2016-10-13 09:05:00,17858.11,17858.11,17817.99,17828.48,9042.0,2016-10-13 00:00:00,487700,1.0,-0.00296607404723
2016-10-14,2016-10-14 09:05:00,17805.22,17866.26,17805.22,17862.82,14666.0,2016-10-14 00:00:00,595100,1.0,0.00880348607838
2016-10-17,2016-10-17 09:05:00,17962.66,18008.73,17956.25,17983.11,11912.0,2016-10-17 00:00:00,569200,1.0,0.000285551671903
2016-10-18,2016-10-18 09:05:00,17967.79,17988.58,17959.44,17959.44,7430.0,2016-10-18 00:00:00,547400,1.0,0.0109484347063
2016-10-19,2016-10-19 09:05:00,18165.59,18200.87,18135.54,18186.33,11694.0,2016-10-19 00:00:00,489200,1.0,0.00531351344969
2016-10-20,2016-10-20 09:05:00,18262.37,18276.21,18239.69,18260.65,11758.0,2016-10-20 00:00:00,530200,1.0,-0.00327217454245
2016-10-21,2016-10-21 09:05:00,18202.71,18231.17,18188.25,18188.25,9774.0,2016-10-21 00:00:00,408000,1.0,-0.00474570292458
